,feature,importance
549,"value__fft_coefficient__attr_""angle""__coeff_21",0.00018981169792939577
568,"value__fft_coefficient__attr_""angle""__coeff_40",0.0001872515451721307
679,value__ratio_beyond_r_sigma__r_2,0.0001850490455928371
194,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.2",0.00018152248679923578
585,"value__fft_coefficient__attr_""angle""__coeff_57",0.0001808333237694435
474,"value__fft_coefficient__attr_""abs""__coeff_45",0.0001805892601312577
266,"value__fft_coefficient__attr_""real""__coeff_36",0.00017829496814171275
538,"value__fft_coefficient__attr_""angle""__coeff_10",0.00017732060316708352
285,"value__fft_coefficient__attr_""real""__coeff_55",0.00017644085292928318
216,"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4",0.00017592281584588812
616,"value__fft_coefficient__attr_""angle""__coeff_88",0.00016960610885748665
605,"value__fft_coefficient__attr_""angle""__coeff_77",0.00016930035647592579
636,value__approximate_entropy__m_2__r_0.7,0.00016640968249015566
653,"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""min""",0.00016517659212645497
262,"value__fft_coefficient__attr_""real""__coeff_32",0.00016493945049672447
397,"value__fft_coefficient__attr_""imag""__coeff_68",0.00016236700691746789
468,"value__fft_coefficient__attr_""abs""__coeff_39",0.0001607624508245879
369,"value__fft_coefficient__attr_""imag""__coeff_40",0.000157254787567227
576,"value__fft_coefficient__attr_""angle""__coeff_48",0.00015245779069907094
426,"value__fft_coefficient__attr_""imag""__coeff_97",0.00015143736443676476
232,"value__fft_coefficient__attr_""real""__coeff_2",0.0001512931784978996
440,"value__fft_coefficient__attr_""abs""__coeff_11",0.00015105264201107404
368,"value__fft_coefficient__attr_""imag""__coeff_39",0.00015092576411352058
582,"value__fft_coefficient__attr_""angle""__coeff_54",0.00015053782695917926
332,"value__fft_coefficient__attr_""imag""__coeff_3",0.0001499327856425775
144,"value__cwt_coefficients__coeff_12__w_2__widths_(2, 5, 10, 20)",0.000149630775899295
269,"value__fft_coefficient__attr_""real""__coeff_39",0.00014949417439944764
400,"value__fft_coefficient__attr_""imag""__coeff_71",0.00014735806907397814
580,"value__fft_coefficient__attr_""angle""__coeff_52",0.00014700645998679606
85,value__number_peaks__n_10,0.00014375428686894614
84,value__number_peaks__n_5,0.00014327793629068493
34,value__benford_correlation,0.0001423934494721603
391,"value__fft_coefficient__attr_""imag""__coeff_62",0.00014214477186624873
30,value__sample_entropy,0.00014139664829535483
163,value__ar_coefficient__coeff_4__k_10,0.00013945737854941475
508,"value__fft_coefficient__attr_""abs""__coeff_79",0.00013731183802520643
167,value__ar_coefficient__coeff_8__k_10,0.00013355795380892325
253,"value__fft_coefficient__attr_""real""__coeff_23",0.0001327071084044767
222,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_1.0__ql_0.6",0.00012958536357782885
557,"value__fft_coefficient__attr_""angle""__coeff_29",0.00012766391400045066
532,"value__fft_coefficient__attr_""angle""__coeff_4",0.00012707089698954594
676,value__ratio_beyond_r_sigma__r_0.5,0.0001268383148118471
453,"value__fft_coefficient__attr_""abs""__coeff_24",0.00012593935874539267
526,"value__fft_coefficient__attr_""abs""__coeff_97",0.0001249079708928904
669,value__energy_ratio_by_chunks__num_segments_10__segment_focus_3,0.00012368932480397548
211,"value__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4",0.00012318237494025514
452,"value__fft_coefficient__attr_""abs""__coeff_23",0.0001225437524303325
274,"value__fft_coefficient__attr_""real""__coeff_44",0.00012239711538790756
240,"value__fft_coefficient__attr_""real""__coeff_10",0.00012122784902684221
340,"value__fft_coefficient__attr_""imag""__coeff_11",0.00012116564722000723
99,"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)",0.0001177011949665091
78,"value__agg_autocorrelation__f_agg_""median""__maxlag_40",0.00011764226221962501
389,"value__fft_coefficient__attr_""imag""__coeff_60",0.0001166887092097397
244,"value__fft_coefficient__attr_""real""__coeff_14",0.00011576820819685902
608,"value__fft_coefficient__attr_""angle""__coeff_80",0.00011304051450823448
41,value__cid_ce__normalize_True,0.00011237501251409765
149,"value__cwt_coefficients__coeff_13__w_5__widths_(2, 5, 10, 20)",0.0001118827195953375
233,"value__fft_coefficient__attr_""real""__coeff_3",0.00011121752303007494
311,"value__fft_coefficient__attr_""real""__coeff_81",0.00011034696705100898
607,"value__fft_coefficient__attr_""angle""__coeff_79",0.00010964612535952358
349,"value__fft_coefficient__attr_""imag""__coeff_20",0.00010940255259768222
691,value__permutation_entropy__dimension_7__tau_1,0.00010936035105624912
618,"value__fft_coefficient__attr_""angle""__coeff_90",0.00010791868167306764
178,"value__change_quantiles__f_agg_""mean""__isabs_False__qh_0.6__ql_0.0",0.00010333699838717628
604,"value__fft_coefficient__attr_""angle""__coeff_76",0.00010333502572255157
319,"value__fft_coefficient__attr_""real""__coeff_89",0.00010317973863501361
570,"value__fft_coefficient__attr_""angle""__coeff_42",0.00010265677849457351
276,"value__fft_coefficient__attr_""real""__coeff_46",0.0001011000542483001
258,"value__fft_coefficient__attr_""real""__coeff_28",9.708234041468512e-05
81,value__number_cwt_peaks__n_5,9.458992988643531e-05
414,"value__fft_coefficient__attr_""imag""__coeff_85",9.442057743158347e-05
353,"value__fft_coefficient__attr_""imag""__coeff_24",9.280745408424114e-05
609,"value__fft_coefficient__attr_""angle""__coeff_81",9.203410846727536e-05
337,"value__fft_coefficient__attr_""imag""__coeff_8",9.168612120405182e-05
483,"value__fft_coefficient__attr_""abs""__coeff_54",9.125623006721702e-05
346,"value__fft_coefficient__attr_""imag""__coeff_17",9.070985473187365e-05
100,"value__cwt_coefficients__coeff_1__w_2__widths_(2, 5, 10, 20)",8.965502472989003e-05
606,"value__fft_coefficient__attr_""angle""__coeff_78",8.945964956833944e-05
429,"value__fft_coefficient__attr_""abs""__coeff_0",8.921454451494384e-05
620,"value__fft_coefficient__attr_""angle""__coeff_92",8.528558531180896e-05
137,"value__cwt_coefficients__coeff_10__w_5__widths_(2, 5, 10, 20)",8.469792992350351e-05
613,"value__fft_coefficient__attr_""angle""__coeff_85",8.455142754390194e-05
229,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.8",8.453187269889551e-05
121,"value__cwt_coefficients__coeff_6__w_5__widths_(2, 5, 10, 20)",8.439849896691186e-05
665,value__number_crossing_m__m_1,8.378918526099232e-05
405,"value__fft_coefficient__attr_""imag""__coeff_76",8.335921152933021e-05
421,"value__fft_coefficient__attr_""imag""__coeff_92",8.142992895409194e-05
291,"value__fft_coefficient__attr_""real""__coeff_61",7.902880731524967e-05
359,"value__fft_coefficient__attr_""imag""__coeff_30",7.890736192123804e-05
381,"value__fft_coefficient__attr_""imag""__coeff_52",7.872202340926518e-05
507,"value__fft_coefficient__attr_""abs""__coeff_78",7.817985116590414e-05
225,"value__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.6",7.744935704785212e-05
377,"value__fft_coefficient__attr_""imag""__coeff_48",7.710254795405018e-05
517,"value__fft_coefficient__attr_""abs""__coeff_88",7.614243009010465e-05
396,"value__fft_coefficient__attr_""imag""__coeff_67",7.590726826428712e-05
681,value__count_below__t_0,7.464040498060324e-05
88,value__index_mass_quantile__q_0.1,7.427351396322442e-05
522,"value__fft_coefficient__attr_""abs""__coeff_93",7.360800074220762e-05
310,"value__fft_coefficient__attr_""real""__coeff_80",7.301314883687558e-05
583,"value__fft_coefficient__attr_""angle""__coeff_55",7.262895955712928e-05
187,"value__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.0",7.250644739251109e-05
295,"value__fft_coefficient__attr_""real""__coeff_65",7.164937301736146e-05
403,"value__fft_coefficient__attr_""imag""__coeff_74",7.164306523718755e-05
487,"value__fft_coefficient__attr_""abs""__coeff_58",7.043117735163813e-05
339,"value__fft_coefficient__attr_""imag""__coeff_10",7.038904748627416e-05
328,"value__fft_coefficient__attr_""real""__coeff_98",7.015069174339192e-05
122,"value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",6.933224917451394e-05
98,"value__cwt_coefficients__coeff_0__w_10__widths_(2, 5, 10, 20)",6.927340594349984e-05
257,"value__fft_coefficient__attr_""real""__coeff_27",6.920935385102096e-05
345,"value__fft_coefficient__attr_""imag""__coeff_16",6.798387142516467e-05
